matchId,team_name,player_name,location_x,location_y,shot_onTarget,shot_isGoal,shot_xg,shot_status
5233068,Cracovia Kraków,F. Balaj,91,46,TRUE,FALSE,0.1911,På mål
5233068,Cracovia Kraków,P. van Amersfoort,97,44,TRUE,FALSE,0.2561,På mål
5233068,Cracovia Kraków,C. Râpă,94,70,TRUE,FALSE,0.0437,På mål
5233069,Raków Częstochowa,M. Cebula,86,29,TRUE,FALSE,0.02132,På mål
5233070,Lechia Gdańsk,L. Zwoliński,90,43,TRUE,FALSE,0.2066,På mål
5233070,Wisła Płock,D. Rasak,88,36,TRUE,FALSE,0.04178,På mål
5233070,Lechia Gdańsk,M. Nalepa,91,38,TRUE,FALSE,0.08397,På mål
5233070,Wisła Płock,A. Kryvotsyuk,93,61,TRUE,FALSE,0.072,På mål
5233070,Lechia Gdańsk,L. Zwoliński,90,42,TRUE,FALSE,0.4288,På mål
5233070,Wisła Płock,K. Vallo,79,73,TRUE,FALSE,0.04421,På mål
5233071,Górnik Zabrze,B. Nowak,89,71,TRUE,FALSE,0.05414,På mål
5233072,Nieciecza,A. Radwański,80,20,TRUE,FALSE,0.009295,På mål
5233072,Jagiellonia Białystok,A. Trubeha,85,54,TRUE,FALSE,0.1639,På mål
5233072,Jagiellonia Białystok,A. Trubeha,87,61,TRUE,FALSE,0.21560000000000001,På mål
5233072,Nieciecza,M. Wasielewski,78,32,TRUE,FALSE,0.04645,På mål
5233073,Lech Poznań,M. Skóraś,86,70,TRUE,FALSE,0.067780000000000007,På mål
5233073,Lech Poznań,João Amaral,94,43,TRUE,FALSE,0.721,På mål
5233074,Legia Warszawa,B. Slisz,74,52,TRUE,FALSE,0.02114,På mål
5233074,Zagłębie Lubin,P. Szysz,87,48,TRUE,FALSE,0.2122,På mål
5233074,Legia Warszawa,M. Johansson,83,67,TRUE,FALSE,0.04289,På mål
5233074,Zagłębie Lubin,P. Szysz,96,45,TRUE,FALSE,0.3182,På mål
5233074,Legia Warszawa,M. Nawrocki,90,57,TRUE,FALSE,0.08205,På mål
5233074,Legia Warszawa,E. Muçi,87,32,TRUE,FALSE,0.07418,På mål
5233075,Piast Gliwice,D. Steczyk,86,31,TRUE,FALSE,0.1175,På mål
5233075,Pogoń Szczecin,K. Kozłowski,85,55,TRUE,FALSE,0.1408,På mål
5233076,Raków Częstochowa,Ivi López,88,63,TRUE,FALSE,0.08595,På mål
5233075,Piast Gliwice,K. Vida,81,42,TRUE,FALSE,0.07584,På mål
5233075,Piast Gliwice,Alberto Toril,91,54,TRUE,FALSE,0.1348,På mål
5233075,Piast Gliwice,Alberto Toril,95,44,TRUE,FALSE,0.2855,På mål
5233076,Raków Częstochowa,M. Wdowiak,78,61,TRUE,FALSE,0.01858,På mål
5233076,Wisła Kraków,J. Kliment,83,52,TRUE,FALSE,0.04106,På mål
5233076,Raków Częstochowa,Ž. Udovičić,88,31,TRUE,FALSE,0.0233,På mål
5233076,Raków Częstochowa,A. Niewulis,88,41,TRUE,FALSE,0.06773,På mål
5233076,Wisła Kraków,J. Kliment,88,47,TRUE,FALSE,0.2534,På mål
5233076,Wisła Kraków,D. Hugi,77,44,TRUE,FALSE,0.07533,På mål
5233076,Wisła Kraków,M. Škvarka,84,62,TRUE,FALSE,0.09256,På mål
5233077,Radomiak Radom,K. Angielski,86,67,TRUE,FALSE,0.08034,På mål
5233077,Wisła Płock,M. Szwoch,89,67,TRUE,FALSE,0.09052,På mål
5233077,Wisła Płock,L. Sekulski,85,50,TRUE,FALSE,0.261,På mål
5233078,Śląsk Wrocław,F. Piasecki,91,70,TRUE,FALSE,0.08134,På mål
5233078,Śląsk Wrocław,M. Praszelik,82,32,TRUE,FALSE,0.07079,På mål
5233078,Lechia Gdańsk,L. Zwoliński,88,57,TRUE,FALSE,0.1437,På mål
5233078,Lechia Gdańsk,L. Zwoliński,92,53,TRUE,FALSE,0.1813,På mål
5233078,Lechia Gdańsk,M. Maloča,95,49,TRUE,FALSE,0.1987,På mål
5233078,Lechia Gdańsk,L. Zwoliński,93,51,TRUE,FALSE,0.2182,På mål
5233078,Śląsk Wrocław,Caye Quintana,86,70,TRUE,FALSE,0.1066,På mål
5233078,Lechia Gdańsk,K. Sezonienko,94,41,TRUE,FALSE,0.2814,På mål
5233078,Śląsk Wrocław,K. Mączyński,71,63,TRUE,FALSE,0.03008,På mål
5233079,Warta Poznań,M. Czyżycki,78,40,TRUE,FALSE,0.06682,På mål
5233079,Warta Poznań,M. Czyżycki,73,42,TRUE,FALSE,0.0447,På mål
5233079,Górnik Łęczna,S. Krykun,86,30,TRUE,FALSE,0.08132,På mål
5233078,Śląsk Wrocław,R. Pich,84,41,TRUE,FALSE,0.1347,På mål
5233078,Lechia Gdańsk,Flávio Paixão,96,34,TRUE,FALSE,0.1759,På mål
5233079,Górnik Łęczna,S. Krykun,91,32,TRUE,FALSE,0.03108,På mål
5233078,Śląsk Wrocław,R. Pich,96,59,TRUE,FALSE,0.4956,På mål
5233079,Górnik Łęczna,S. Krykun,96,42,TRUE,FALSE,0.1834,På mål
5233080,Nieciecza,M. Grzybek,88,55,TRUE,FALSE,0.2085,På mål
5233080,Lech Poznań,J. Kamiński,89,37,TRUE,FALSE,0.1177,På mål
5233080,Nieciecza,E. Terpiłowski,80,76,TRUE,FALSE,0.01726,På mål
5233080,Nieciecza,A. Hloušek,93,49,TRUE,FALSE,0.3086,På mål
5233080,Lech Poznań,M. Ishak,91,67,TRUE,FALSE,0.1532,På mål
5233081,Jagiellonia Białystok,F. Černych,89,69,TRUE,FALSE,0.07746,På mål
5233082,Pogoń Szczecin,K. Kozłowski,85,60,TRUE,FALSE,0.06432,På mål
5233082,Pogoń Szczecin,S. Kowalczyk,85,57,TRUE,FALSE,0.1201,På mål
5233082,Pogoń Szczecin,K. Smoliński,80,41,TRUE,FALSE,0.04299,På mål
5233082,Zagłębie Lubin,E. Bashkirov,79,37,TRUE,FALSE,0.04654,På mål
5233083,Lechia Gdańsk,Í. Durmuş,87,43,TRUE,FALSE,0.175,På mål
5233083,Cracovia Kraków,P. van Amersfoort,74,64,TRUE,FALSE,0.01574,På mål
5233083,Cracovia Kraków,C. Râpă,97,49,TRUE,FALSE,0.6835,På mål
5233084,Piast Gliwice,P. Sokołowski,89,59,TRUE,FALSE,0.07335,På mål
5233084,Piast Gliwice,Tiago Alves,89,61,TRUE,FALSE,0.2051,På mål
5233085,Raków Częstochowa,Ivi López,80,64,TRUE,FALSE,0.02904,På mål
5233085,Raków Częstochowa,M. Wdowiak,73,44,TRUE,FALSE,0.03682,På mål
5233085,Raków Częstochowa,M. Wdowiak,93,62,TRUE,FALSE,0.1528,På mål
5233085,Raków Częstochowa,Ivi López,90,51,TRUE,FALSE,0.2867,På mål
5233085,Radomiak Radom,M. Radecki,95,32,TRUE,FALSE,0.0555,På mål
5233086,Stal Mielec,M. Budziński,81,34,TRUE,FALSE,0.08312,På mål
5233086,Wisła Kraków,K. Gruszkowski,74,56,TRUE,FALSE,0.01843,På mål
5233086,Wisła Kraków,F. Brown Forbes,93,44,TRUE,FALSE,0.2235,På mål
5233087,Warta Poznań,M. Kuzimski,86,55,TRUE,FALSE,0.1146,På mål
5233086,Stal Mielec,M. Matras,92,62,TRUE,FALSE,0.1438,På mål
5233086,Wisła Kraków,Y. Yeboah,87,73,TRUE,FALSE,0.1511,På mål
5233088,Górnik Łęczna,S. Krykun,98,54,TRUE,FALSE,0.534,På mål
5233088,Śląsk Wrocław,M. Praszelik,77,77,TRUE,FALSE,0.01558,På mål
5233088,Śląsk Wrocław,M. Praszelik,82,34,TRUE,FALSE,0.07271,På mål
5233089,Cracovia Kraków,M. Álvarez,83,27,TRUE,FALSE,0.01917,På mål
5233089,Jagiellonia Białystok,F. Černych,91,51,TRUE,FALSE,0.1578,På mål
5233089,Cracovia Kraków,M. Álvarez,89,58,TRUE,FALSE,0.2958,På mål
5233089,Jagiellonia Białystok,T. Přikryl,85,64,TRUE,FALSE,0.06538,På mål
5233089,Jagiellonia Białystok,F. Černych,90,68,TRUE,FALSE,0.1149,På mål
5233090,Lech Poznań,J. Kamiński,91,59,TRUE,FALSE,0.3318,På mål
5233090,Lech Poznań,João Amaral,81,49,TRUE,FALSE,0.08823,På mål
5233091,Legia Warszawa,Rafa Lopes,88,57,TRUE,FALSE,0.1682,På mål
5233091,Legia Warszawa,Rafa Lopes,88,54,TRUE,FALSE,0.0701,På mål
5233091,Legia Warszawa,B. Slisz,85,73,TRUE,FALSE,0.02787,På mål
5233091,Legia Warszawa,Josué,88,78,TRUE,FALSE,0.02225,På mål
5233092,Piast Gliwice,Tiago Alves,74,59,TRUE,FALSE,0.04506,På mål
5233092,Śląsk Wrocław,P. Schwarz,96,55,TRUE,FALSE,0.2635,På mål
5233093,Pogoń Szczecin,J. Bartkowski,95,63,TRUE,FALSE,0.1519,På mål
5233092,Piast Gliwice,Alberto Toril,95,29,TRUE,FALSE,0.009332,På mål
5233092,Śląsk Wrocław,Erik Expósito,88,58,TRUE,FALSE,0.04161,På mål
5233092,Śląsk Wrocław,P. Schwarz,99,60,TRUE,FALSE,0.118,På mål
5233093,Pogoń Szczecin,S. Kowalczyk,81,37,TRUE,FALSE,0.1087,På mål
5233093,Pogoń Szczecin,J. Bartkowski,96,53,TRUE,FALSE,0.412,På mål
5233093,Pogoń Szczecin,P. Parzyszek,87,47,TRUE,FALSE,0.0629,På mål
5233093,Pogoń Szczecin,R. Kurzawa,87,54,TRUE,FALSE,0.2369,På mål
5233094,Radomiak Radom,D. Jakubik,98,87,TRUE,FALSE,0.00919,På mål
5233095,Raków Częstochowa,B. Lederman,73,42,TRUE,FALSE,0.02478,På mål
5233094,Radomiak Radom,Leândro,93,72,TRUE,FALSE,0.044,På mål
5233095,Górnik Zabrze,R. Dadok,87,73,TRUE,FALSE,0.03883,På mål
5233095,Raków Częstochowa,M. Rundić,93,40,TRUE,FALSE,0.07916,På mål
5233095,Górnik Zabrze,B. Nowak,71,53,TRUE,FALSE,0.033890000000000003,På mål
5233095,Raków Częstochowa,J. Arak,82,53,TRUE,FALSE,0.2633,På mål
5233095,Raków Częstochowa,M. Wdowiak,90,70,TRUE,FALSE,0.03746,På mål
5233095,Raków Częstochowa,M. Wdowiak,87,65,TRUE,FALSE,0.05061,På mål
5233095,Górnik Zabrze,M. Cholewiak,88,66,TRUE,FALSE,0.07592,På mål
5233096,Zagłębie Lubin,E. Bashkirov,95,61,TRUE,FALSE,0.1795,På mål
5233096,Wisła Płock,D. Warchoł,87,60,TRUE,FALSE,0.1647,På mål
5233096,Wisła Płock,D. Warchoł,88,52,TRUE,FALSE,0.219,På mål
5233096,Zagłębie Lubin,L. Šimić,91,46,TRUE,FALSE,0.1442,På mål
5233096,Zagłębie Lubin,E. Daniel,92,55,TRUE,FALSE,0.2099,På mål
5233096,Wisła Płock,L. Sekulski,87,32,TRUE,FALSE,0.04951,På mål
