matchId,matchPeriod,minute,second,matchTimestamp,videoTimestamp,relatedEventId,pass,groundDuel,aerialDuel,infraction,carry,type_primary,type_secondary,location_x,location_y,team_id,team_name,team_formation,opponentTeam_id,opponentTeam_name,opponentTeam_formation,player_id,player_name,player_position,shot_bodyPart,shot_isGoal,shot_onTarget,shot_goalZone,shot_xg,shot_postShotXg,shot_goalkeeperActionId,shot_goalkeeper_id,shot_goalkeeper_name,possession_id,possession_duration,possession_types,possession_eventsNumber,possession_eventIndex,possession_startLocation_x,possession_startLocation_y,possession_endLocation_x,possession_endLocation_y,possession_team_id,possession_team_name,possession_team_formation,possession_attack_withShot,possession_attack_withShotOnGoal,possession_attack_withGoal,possession_attack_flank,possession_attack_xg,distance_to_goal,angle_to_goal
5233300,2H,59,18,00:59:18.445,3642.445145,NA,NA,NA,NA,NA,NA,shot,,85,37,13551,Radomiak Radom,4-4-2,13527,Jagiellonia Białystok,4-4-1-1,247995,K. Angielski,CF,left_foot,TRUE,TRUE,gl,0.1589,0.2155,1250214219,18573,Z. Alomerović,1250213019,4.7809245,,6,5,58,0,85,37,13551,Radomiak Radom,4-4-2,TRUE,TRUE,TRUE,center,0.1589,19.849433241279208,40.91438322002513
5233300,2H,61,12,01:01:12.111,3756.111701,NA,NA,NA,NA,NA,NA,shot,,90,46,13527,Jagiellonia Białystok,4-4-1-1,13551,Radomiak Radom,4-4-2,616883,Diego Carioca,AMF,right_foot,TRUE,TRUE,gr,0.311,0.7122,1250213075,595976,F. Majchrowicz,1250214235,15.849107,,8,7,14,27,90,46,13527,Jagiellonia Białystok,4-4-1-1,TRUE,TRUE,TRUE,center,0.311,10.770329614269007,21.80140948635181
5233300,2H,66,15,01:06:15.639,4059.63907,NA,NA,NA,NA,NA,NA,shot,,79,70,13527,Jagiellonia Białystok,3-4-1-2,13551,Radomiak Radom,4-4-2,387804,Marc Gual,CF,right_foot,TRUE,TRUE,gtr,0.03209,0.1901,1250213172,595976,F. Majchrowicz,1250214426,32.1326205,,13,12,41,20,79,70,13527,Jagiellonia Białystok,3-4-1-2,TRUE,TRUE,TRUE,center,0.0321,29,43.60281897270362
5233301,1H,44,37,00:44:37.832,2683.832226,NA,NA,NA,NA,NA,NA,shot,,94,51,13536,Śląsk Wrocław,3-4-3,13540,Raków Częstochowa,3-4-3,225950,Caye Quintana,LWF,left_foot,TRUE,TRUE,gc,0.5329,0.6902,1258018894,665163,K. Trelowski,1258019866,0.0,,1,0,94,51,94,51,13536,Śląsk Wrocław,3-4-3,TRUE,TRUE,TRUE,center,0.5329,6.082762530298219,9.462322208025617
5233301,2H,61,58,01:01:58.531,3898.53126,NA,NA,NA,NA,NA,NA,shot,,73,42,13540,Raków Częstochowa,3-4-3,13536,Śląsk Wrocław,3-4-3,222037,P. Kun,LWB,left_foot,TRUE,TRUE,gbr,0.07783,0.2192,1258019980,99690,M. Szromnik,1258019092,1.022691,,2,1,66,44,73,42,13540,Raków Częstochowa,3-4-3,TRUE,TRUE,TRUE,center,0.0778,28.160255680657446,16.504361381755018
5233302,2H,60,9,01:00:09.440,3686.44036,NA,NA,NA,NA,NA,NA,shot,,97,55,13545,Warta Poznań,3-4-3,13521,Cracovia Kraków,5-4-1,258443,A. Zreľák,CF,right_foot,TRUE,TRUE,gbr,0.8131,0.8901,1254569025,104782,L. Hroššo,1254570023,0.0,,1,0,97,55,97,55,13545,Warta Poznań,3-4-3,TRUE,TRUE,TRUE,center,0.8131,5.830951894845301,59.03624346792648
5233303,2H,66,54,01:06:54.821,4108.82139,NA,NA,NA,NA,NA,NA,shot,,79,32,13504,Wisła Kraków,4-2-3-1,13512,Górnik Zabrze,3-4-3,65089,S. Savić,LAMF,right_foot,TRUE,TRUE,gbr,0.05489,0.2678,1253592803,571074,D. Bielica,1253592280,20.6465075,,12,11,10,40,79,32,13504,Wisła Kraków,4-2-3-1,TRUE,TRUE,TRUE,left,0.0549,27.65863337187866,40.60129464500447
5233303,2H,92,21,01:32:21.167,5635.167001,NA,NA,NA,NA,NA,NA,shot,,87,43,13504,Wisła Kraków,4-3-3,13512,Górnik Zabrze,3-4-3,582168,N. Kuveljić,DMF,left_foot,TRUE,TRUE,gtl,0.1573,0.7067,1253593034,571074,D. Bielica,1253592612,27.957353,,14,13,63,52,87,43,13504,Wisła Kraków,4-3-3,TRUE,TRUE,TRUE,left,0.1573,14.7648230602334,28.30075576600638
5233303,2H,50,14,00:50:14.145,3108.14517,NA,NA,NA,NA,NA,NA,shot,,80,44,13512,Górnik Zabrze,3-4-3,13504,Wisła Kraków,4-2-3-1,15291,L. Podolski,RWF,left_foot,TRUE,TRUE,gr,0.05158,0.3708,1253591983,184,P. Kieszek,1253592669,5.283658,,7,6,100,100,80,44,13512,Górnik Zabrze,3-4-3,TRUE,TRUE,TRUE,right,0.0516,20.8806130178211,16.69924423399362
5233304,1H,25,32,00:25:32.463,1538.463529,NA,NA,NA,NA,NA,NA,shot,,95,50,13530,Piast Gliwice,3-5-2,13511,Górnik Łęczna,3-4-3,99565,K. Wilczek,SS,left_foot,TRUE,TRUE,gtr,0.5638,0.9555,1248650677,101120,M. Gostomski,1248650564,48.186591,,25,24,44,63,95,50,13530,Piast Gliwice,3-5-2,TRUE,TRUE,TRUE,right,0.5638,5,0
5233305,1H,35,31,00:35:31.968,2137.968981,NA,NA,NA,NA,NA,NA,shot,,90,40,13540,Raków Częstochowa,3-4-3,13712,Nieciecza,4-4-2,254189,Ivi López,LWF,right_foot,TRUE,TRUE,gl,0.3018,0.6036,1269076616,336012,P. Pavlyuchenko,1269076151,2.913043,,4,3,73,27,90,40,13540,Raków Częstochowa,3-4-3,TRUE,TRUE,TRUE,center,0.3018,14.142135623730951,45
5233305,2H,61,4,01:01:04.827,3751.827609,NA,NA,NA,NA,NA,NA,shot,,91,50,13540,Raków Częstochowa,3-4-3,13712,Nieciecza,3-4-3,97202,V. Gutkovskis,CF,left_foot,TRUE,TRUE,gc,0.6153,0.6519,1269077201,336012,P. Pavlyuchenko,1269076655,0.0,,1,0,91,50,91,50,13540,Raków Częstochowa,3-4-3,TRUE,TRUE,TRUE,center,0.6153,9,0
5233305,2H,90,9,01:30:09.373,5496.373445,NA,NA,NA,NA,NA,NA,shot,,94,45,13540,Raków Częstochowa,3-4-3,13712,Nieciecza,3-4-2-1,269282,S. Musiolik,CF,left_foot,TRUE,TRUE,gb,0.5376,0.8381,1269077454,336012,P. Pavlyuchenko,1269077095,15.4205845,,10,9,61,73,94,45,13540,Raków Częstochowa,3-4-3,TRUE,TRUE,TRUE,right,0.5376,7.810249675906654,39.80557109226519
5233306,1H,7,31,00:07:31.662,457.662066,NA,NA,NA,NA,NA,NA,shot,,90,33,13521,Cracovia Kraków,5-4-1,13520,Zagłębie Lubin,4-1-4-1,438591,K. Pestka,LB5,right_foot,TRUE,TRUE,gbr,0.05156,0.4557,1257874353,269184,D. Hładun,1257875844,27.3501415,,12,11,64,100,90,33,13521,Cracovia Kraków,5-4-1,TRUE,TRUE,TRUE,right,0.0516,19.72308292331602,59.53445508054013
5233307,1H,10,9,00:10:09.504,615.504408,NA,NA,NA,NA,NA,NA,shot,,82,49,13559,Lechia Gdańsk,4-3-1-2,13512,Górnik Zabrze,3-4-3,223070,Í. Durmuş,LCMF3,right_foot,TRUE,TRUE,glb,0.1924,0.3573,1260776273,571074,D. Bielica,1260776646,0.0,,1,0,82,49,82,49,13559,Lechia Gdańsk,4-3-1-2,TRUE,TRUE,TRUE,center,0.1924,18.027756377319946,3.1798301198642345
